"filename", "language", "JSON", "HTML", "PHP", "PostCSS", "JavaScript", "SCSS", "comment", "blank", "total"
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/sass/cart.css", "PostCSS", 0, 0, 0, 765, 0, 0, 0, 3, 768
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/sass/cart.scss", "SCSS", 0, 0, 0, 0, 0, 143, 0, 32, 175
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/css/style.css", "PostCSS", 0, 0, 0, 2216, 0, 0, 1, 1, 2218
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/index.html", "HTML", 0, 94, 0, 0, 0, 0, 0, 1, 95
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_common.js", "JavaScript", 0, 0, 0, 0, 31, 0, 0, 8, 39
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_customers.js", "JavaScript", 0, 0, 0, 0, 53, 0, 0, 8, 61
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_my_profile.js", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 12, 45
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_orders.js", "JavaScript", 0, 0, 0, 0, 52, 0, 0, 8, 60
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_products.js", "JavaScript", 0, 0, 0, 0, 79, 0, 0, 6, 85
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/backend_shopping_cart.js", "JavaScript", 0, 0, 0, 0, 48, 0, 19, 16, 83
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/common.js", "JavaScript", 0, 0, 0, 0, 36, 0, 0, 12, 48
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/index.js", "JavaScript", 0, 0, 0, 0, 153, 0, 1, 27, 181
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/my_profile.js", "JavaScript", 0, 0, 0, 0, 147, 0, 0, 22, 169
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/my_reviews.js", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 8, 41
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/product_detail.js", "JavaScript", 0, 0, 0, 0, 96, 0, 1, 13, 110
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/js/shopping_cart.js", "JavaScript", 0, 0, 0, 0, 125, 0, 1, 20, 146
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/package-lock.json", "JSON", 1122, 0, 0, 0, 0, 0, 0, 1, 1123
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/package.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 2, 27
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/views/product_detail.html", "HTML", 0, 252, 0, 0, 0, 0, 7, 46, 305
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/views/profile.html", "HTML", 0, 243, 0, 0, 0, 0, 0, 47, 290
"/Applications/XAMPP/xamppfiles/htdocs/student023/shop/views/shopping_cart.html", "HTML", 0, 103, 0, 0, 0, 0, 2, 44, 149
"Total", "-", 1644, 692, 2336, 22472, 886, 580, 268, 6756, 35634
